productid,productname,category,unitprice,stockquantity,supplier,productcategory
2046,Clothing-Worry,Clothing,33.43,56,FashionInc,Clothing
2047,Clothing-Hair,Office,334.98,34,OfficePro,Clothing
2048,Electronics-Candidate,Home,357.63,167,HomeGoods Co,Clothing
2049,Office-Easy,Home,939.84,278,HomeGoods Co,Electronics
2050,Electronics-Young,Home,186.78,45,HomeGoods Co,Sports
2051,Home-Century,Electronics,117.32,120,TechCorp,Home
2052,Office-Year,Home,731.26,88,HomeGoods Co,Sports
2053,Home-Ground,Office,610.15,156,OfficePro,Sports
2054,Electronics-Above,Office,900.51,234,OfficePro,Home
2055,Clothing-Politics,Home,53.94,67,HomeGoods Co,Sports
2056,Office-About,Electronics,524.72,189,TechCorp,Electronics
2057,Clothing-Identify,Home,436.98,145,HomeGoods Co,Electronics
2058,Home-Wear,Home,666.75,98,HomeGoods Co,Electronics
2059,Electronics-Clear,Home,512.05,56,HomeGoods Co,Clothing
2060,Office-Term,Home,408.38,34,HomeGoods Co,Clothing
2061,Home-Quite,Clothing,199.92,167,FashionInc,Electronics
2062,Office-Receive,Clothing,619.36,278,FashionInc,Sports
2063,Home-Good,Office,552.46,45,OfficePro,Clothing
2064,Electronics-Stop,Home,294.04,120,HomeGoods Co,Electronics
2065,Office-Animal,Home,470.34,88,HomeGoods Co,Clothing
2066,Office-Occur,Clothing,516.06,156,FashionInc,Electronics
2067,Clothing-Remain,Electronics,290.95,234,TechCorp,Sports
2068,Home-Read,Electronics,820.24,67,TechCorp,Electronics
2069,Clothing-Garden,Home,232.39,189,HomeGoods Co,Sports
2070,Clothing-About,Clothing,34.18,145,FashionInc,Home
2071,Clothing-Success,Office,615.16,98,OfficePro,Electronics
2072,Electronics-Become,Office,420.3,56,OfficePro,Electronics
2073,Clothing-Executive,Office,499.43,34,OfficePro,Sports
2074,Clothing-Strong,Clothing,659.5,167,FashionInc,Home
2075,Electronics-Letter,Electronics,780.64,278,TechCorp,Home
2076,Clothing-Affect,Clothing,806.07,45,FashionInc,Home
2077,Office-Ball,Electronics,561.83,120,TechCorp,Electronics
2078,Electronics-Film,Office,142.01,88,OfficePro,Clothing
2079,Office-Who,Home,950.54,156,HomeGoods Co,Electronics
2080,Office-Doctor,Office,832.26,234,OfficePro,Sports
2081,Office-Light,Clothing,746.22,67,FashionInc,Home
2082,Office-Figure,Office,266.6,189,OfficePro,Clothing
2083,Clothing-Cut,Home,768.16,145,HomeGoods Co,Electronics
2084,Office-Stuff,Clothing,281.85,98,FashionInc,Clothing
2085,Electronics-Officer,Home,242.15,56,HomeGoods Co,Clothing
2086,Home-Of,Home,894.1,34,HomeGoods Co,Home
2087,Electronics-Rather,Clothing,159.32,167,FashionInc,Home
2088,Office-Evening,Clothing,709.35,278,FashionInc,Sports
2089,Electronics-Action,Office,413.52,45,OfficePro,Clothing
2090,Office-Staff,Office,71.64,120,OfficePro,Electronics
2091,Office-Mrs,Office,905.79,88,OfficePro,Home
2092,Electronics-Add,Office,482.21,156,OfficePro,Home
2093,Home-Real,Home,755.94,234,HomeGoods Co,Home
2094,Office-Fight,Clothing,493.35,67,FashionInc,Home
2095,Home-Seem,Office,490.79,189,OfficePro,Clothing
2096,Office-Discuss,Home,672.18,145,HomeGoods Co,Clothing
2097,Office-Recent,Clothing,842.1,98,FashionInc,Clothing
2098,Clothing-Trouble,Electronics,907.86,56,TechCorp,Electronics
2099,Electronics-Several,Electronics,646.32,34,TechCorp,Electronics
